Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
10505;D0505;WGH687;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,81;
10506;D0506;WGH708;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,67;
10507;D0507;WGH698;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,59;
10508;D0508;WGH699;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,90;
10509;D0509;WGH700;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,13;
10510;D0510;WGH701;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,92;
10511;D0511;WGH670;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,45;
10512;D0512;WGH702;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,32;
10513;D0513;WGH692;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,72;
10514;D0514;WGH693;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,57;
